"country","globalSouthCountries_globalSouth"
"India","Yes"
"China","Yes"
"United States","No"
"Indonesia","Yes"
"Pakistan","Yes"
"Nigeria","Yes"
"Brazil","Yes"
"Bangladesh","Yes"
"Russia","No"
"Ethiopia","Yes"
"Mexico","No"
"Japan","No"
"Philippines","Yes"
"Egypt","Yes"
"DR Congo","Yes"
"Vietnam","Yes"
"Iran","Yes"
"Turkey","No"
"Germany","No"
"Thailand","Yes"
"Tanzania","Yes"
"United Kingdom","No"
"France","No"
"South Africa","Yes"
"Italy","No"
"Kenya","Yes"
"Myanmar","Yes"
"Colombia","Yes"
"South Korea","No"
"Uganda","Yes"
"Sudan","Yes"
"Spain","No"
"Iraq","Yes"
"Algeria","Yes"
"Argentina","Yes"
"Afghanistan","Yes"
"Poland","No"
"Canada","No"
"Morocco","Yes"
"Ukraine","No"
"Angola","Yes"
"Saudi Arabia","Yes"
"Uzbekistan","No"
"Yemen","Yes"
"Mozambique","Yes"
"Ghana","Yes"
"Peru","Yes"
"Malaysia","Yes"
"Nepal","Yes"
"Madagascar","Yes"
"Ivory Coast","Yes"
"Venezuela","Yes"
"Cameroon","Yes"
"Niger","Yes"
"Australia","No"
"North Korea","Yes"
"Syria","Yes"
"Mali","Yes"
"Burkina Faso","Yes"
"Sri Lanka","Yes"
"Malawi","Yes"
"Zambia","Yes"
"Kazakhstan","No"
"Chile","Yes"
"Romania","No"
"Chad","Yes"
"Somalia","Yes"
"Ecuador","Yes"
"Guatemala","Yes"
"Senegal","Yes"
"Netherlands","No"
"Cambodia","Yes"
"Zimbabwe","Yes"
"Guinea","Yes"
"Rwanda","Yes"
"Benin","Yes"
"Burundi","Yes"
"Bolivia","Yes"
"Tunisia","Yes"
"Haiti","Yes"
"Belgium","No"
"Dominican Republic","Yes"
"Jordan","Yes"
"South Sudan","Yes"
"Cuba","Yes"
"Honduras","Yes"
"Sweden","No"
"Papua New Guinea","Yes"
"Czech Republic","No"
"Azerbaijan","No"
"Tajikistan","Yes"
"Greece","No"
"Portugal","No"
"Hungary","No"
"United Arab Emirates","Yes"
"Belarus","No"
"Israel","No"
"Togo","Yes"
"Sierra Leone","Yes"
"Austria","No"
"Switzerland","No"
"Laos","Yes"
"Nicaragua","Yes"
"Serbia","No"
"Libya","Yes"
"Paraguay","Yes"
"Kyrgyzstan","No"
"Bulgaria","No"
"Turkmenistan","Yes"
"El Salvador","Yes"
"Republic of the Congo","Yes"
"Singapore","Yes"
"Denmark","No"
"Central African Republic","Yes"
"Slovakia","No"
"Finland","No"
"Liberia","Yes"
"Norway","No"
"Palestine","Yes"
"New Zealand","No"
"Costa Rica","Yes"
"Lebanon","Yes"
"Ireland","No"
"Mauritania","Yes"
"Oman","Yes"
"Panama","Yes"
"Kuwait","Yes"
"Croatia","No"
"Eritrea","Yes"
"Georgia","No"
"Mongolia","Yes"
"Uruguay","Yes"
"Moldova","No"
"Bosnia and Herzegovina","Yes"
"Gambia","Yes"
"Albania","No"
"Jamaica","Yes"
"Armenia","No"
"Qatar","Yes"
"Botswana","Yes"
"Lithuania","No"
"Namibia","Yes"
"Gabon","Yes"
"Lesotho","Yes"
"Guinea-Bissau","Yes"
"Slovenia","No"
"North Macedonia","No"
"Latvia","No"
"Equatorial Guinea","Yes"
"Trinidad and Tobago","Yes"
"Bahrain","Yes"
"Timor-Leste","Yes"
"Estonia","No"
"Mauritius","Yes"
"Cyprus","No"
"Eswatini","Yes"
"Djibouti","Yes"
"Fiji","Yes"
"Comoros","Yes"
"Guyana","Yes"
"Bhutan","Yes"
"Solomon Islands","Yes"
"Luxembourg","No"
"Suriname","Yes"
"Montenegro","No"
"Cape Verde","Yes"
"Malta","No"
"Maldives","Yes"
"Brunei","Yes"
"Belize","Yes"
"Bahamas","Yes"
"Iceland","No"
"Vanuatu","Yes"
"Barbados","Yes"
"Sao Tome and Principe","Yes"
"Samoa","Yes"
"Saint Lucia","Yes"
"Kiribati","Yes"
"Grenada","Yes"
"Micronesia","Yes"
"Tonga","Yes"
"Seychelles","Yes"
"Saint Vincent and the Grenadines","Yes"
"Antigua and Barbuda","Yes"
"Andorra","No"
"Dominica","Yes"
"Saint Kitts and Nevis","Yes"
"Marshall Islands","Yes"
"Liechtenstein","No"
"Monaco","No"
"San Marino","No"
"Palau","No"
"Nauru","Yes"
"Tuvalu","No"
"Vatican City","No"